Source,Target
cavallilash,lossimpsonvivo
cavallilash,awcanada
cliniqueuk,clarinsofficial
cliniqueuk,elemis
cliniqueuk,revolutionskincare
cliniqueuk,esteelaudercompanies
cliniqueuk,lookfantastic
cliniqueuk,rimmellondonuki
cliniqueuk,theperfumeshop
cliniqueuk,paulaschoice
cliniqueuk,johnlewis
cliniqueuk,clarinsuk
cliniqueuk,marksandspencerfashionpr
cliniqueuk,soapandglory
cliniqueuk,elfcosmeticsuk
cliniqueuk,jlofragrances
cliniqueuk,renskincare
cliniqueuk,itcosmeticsuki
cliniqueuk,smashboxcosmeticsuk
cliniqueuk,elizabetharden
cliniqueuk,nivea_uk
cliniqueuk,burtsbeesuk
cliniqueuk,drjart
cliniqueuk,dorothyperkins
cliniqueuk,laneige_us
cliniqueuk,urbandecayuki
cliniqueuk,harrodsbeauty
cliniqueuk,aveenouk
cliniqueuk,revlon_uk
cliniqueuk,moltonbrown
cliniqueuk,no7uk
cliniqueuk,stormmodels
cliniqueuk,kiehlsuki
cliniqueuk,beautypie
cliniqueuk,debenhams
cliniqueuk,houseoffraser
cliniqueuk,lameruk
cliniqueuk,nipandfab
cliniqueuk,baremineralsuk
cliniqueuk,barrymcosmetics
cliniqueuk,garnieruk
cliniqueuk,spacenk
cliniqueuk,rimmellondonus
cliniqueuk,drjart_uk
